t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2200,100,0,8,352
20,87840,7776,6936,2856,7220
40,113144,11360,10072,2856,8752
61,113144,12184,10688,2856,8596
81,113144,12752,11024,2856,8344
102,113144,13204,11232,2856,8244
122,113144,13204,11232,2856,8244
143,113152,13884,11680,2856,7600
164,113152,14672,12260,2856,7444
185,113152,15380,12748,2856,7288
206,113152,17696,14384,2856,7072
226,113152,19424,15948,2856,6356
247,113152,20448,16772,2856,6204
267,113164,25808,21116,2856,5320
288,117032,36744,31240,2856,6096
308,118344,46968,40200,2856,7408
328,118672,47488,40324,2856,7736
349,119124,48672,41028,2856,8188
369,119516,48672,41028,2856,8188
389,119812,49716,41904,2856,8484
409,119812,49716,41904,2856,8484
430,119812,49716,41904,2856,8484
450,119688,51580,43696,2856,8356
471,0,0,0,0,0
SUMMARY,exit=0,wall_ms=491,user_ms=373,sys_ms=96,max_rss_kb=57768
