t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2192,92,0,8,344
20,76032,6516,5852,744,4892
40,104692,10864,9632,744,6560
61,104692,11576,10128,744,6276
81,104692,12116,10436,744,6140
102,104692,12116,10436,744,6008
123,104692,13124,10960,744,5992
144,104700,13124,10960,744,5508
165,104700,14040,11676,744,5368
186,104700,16804,13228,744,5204
206,104700,19856,15372,744,4696
227,104700,21572,16924,744,4040
247,104700,22468,17612,744,3812
268,104712,25272,19764,744,3760
288,108700,37800,31444,744,4044
308,175144,42272,35380,744,69976
329,175704,44160,36760,744,70536
349,175704,44160,36760,744,70536
369,177024,45552,36888,744,71856
389,177816,46340,36888,744,72648
410,178740,47396,36888,744,73572
431,179532,48188,36888,744,74364
451,180588,49244,36888,744,75420
471,180592,49932,37852,744,75032
491,180592,49932,37852,744,75032
512,180592,49932,37852,744,75032
532,181596,50844,38012,744,76036
552,181596,50844,38012,744,76036
572,181596,50844,38012,744,76036
593,181596,50844,38012,744,76036
613,181596,50844,38012,744,76036
634,181596,50844,38012,744,76036
654,607068,51464,38624,744,43932
674,607068,55124,42284,744,43932
SUMMARY,exit=0,wall_ms=695,user_ms=549,sys_ms=110,max_rss_kb=56876
