t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,4,4,0,0,4
20,113144,12184,10688,2856,8596
40,113152,14660,12248,2856,7548
60,113152,19412,15936,2856,7072
80,116900,35208,29884,2856,5964
101,119128,48420,41036,2856,8192
121,119816,49728,41912,2856,8488
141,237728,59036,50416,2856,13488
161,237728,60504,51720,2856,13376
181,237864,60504,51720,2856,13344
201,237864,62208,53264,2856,13244
222,237864,63188,54036,2856,13168
242,237864,63188,54036,2856,13100
262,237864,63188,54036,2856,13052
282,237864,66016,56500,2856,12660
302,238088,67340,57448,2856,12844
323,238088,67340,57448,2856,12780
343,238344,70280,60000,2856,12936
363,238344,70280,60000,2856,12872
383,238344,70280,60000,2856,12812
403,238344,71132,60660,2856,12692
424,238344,71132,60660,2856,12620
444,238344,72180,61508,2856,12468
464,238344,72180,61508,2856,12440
484,238344,72180,61508,2856,12440
504,238344,72180,61508,2856,12328
525,238344,73452,62592,2856,12328
545,238344,77392,65112,2856,12200
565,239872,98508,84000,2856,12436
585,241112,102336,86684,2856,13676
605,244300,105664,86856,2856,16864
627,247416,108832,86856,2856,19980
647,250216,111472,86856,2856,22780
667,266212,125500,87176,2856,38776
687,285616,145456,87624,2856,58180
708,305416,165940,88072,2856,77980
728,325744,187156,88456,2856,98308
748,346468,208432,88904,2856,119032
768,358348,222196,89224,2856,130912
789,360060,223936,89288,2856,132624
809,361908,225252,89288,2856,134472
829,361920,227472,90968,2856,134484
849,363692,229528,91472,2856,136256
869,363692,229528,91472,2856,136256
890,363692,229528,91472,2856,136256
910,363124,229972,92240,2856,135684
930,363124,229972,92240,2856,135684
950,363124,229972,92240,2856,135684
971,362100,236684,99972,2856,134660
991,0,0,0,0,0
1010,0,0,0,0,0
SUMMARY,exit=0,wall_ms=1030,user_ms=791,sys_ms=202,max_rss_kb=239944
