t_ms,vm_size_kb,vm_rss_kb,vm_shared_kb,vm_text_kb,vm_data_kb
0,2192,92,0,8,344
20,75900,6436,5780,744,4884
40,104692,12116,10436,744,6108
60,104700,14036,11672,744,5236
80,104700,21568,16920,744,3880
100,109096,42352,35460,744,4440
120,175708,44248,36844,744,70540
140,177952,46692,36972,744,72784
160,180988,49596,36972,744,75820
180,180596,50032,37948,744,75036
200,181600,50944,38108,744,76040
221,282684,57828,44424,744,82980
241,291912,59108,45588,744,83504
261,291912,60628,46948,744,83356
281,291912,60628,46948,744,83256
301,291912,62804,48996,744,83180
321,291912,62804,48996,744,83180
342,291912,64664,50708,744,83064
362,291912,64664,50708,744,82964
382,291912,66108,51976,744,82900
402,291912,66108,51976,744,82824
422,291912,68420,54168,744,82736
442,291912,68420,54168,744,82676
462,291912,68420,54168,744,82576
482,291912,69572,55128,744,82520
503,291912,69572,55128,744,82484
523,291912,70620,55976,744,82288
543,291912,70620,55976,744,82252
563,291912,70620,55976,744,82252
583,291912,71740,56900,744,82140
603,291912,71740,56900,744,82028
623,291964,86516,70000,744,81048
643,294208,96568,77644,744,83292
663,296992,99632,77816,744,86076
683,299636,102272,77816,744,88720
704,308244,107888,78176,744,97328
724,326328,127136,78432,744,115412
744,346392,147884,78880,744,135476
764,366324,168308,79264,744,155408
785,385728,188528,79712,744,174812
805,405264,208952,80096,744,194348
825,409840,214788,80408,744,198924
845,410940,215844,80408,744,200024
866,936560,217428,80408,744,202860
886,936560,219536,80408,744,205404
906,936560,222440,80408,744,208528
927,936560,225080,80408,744,211052
947,936560,225608,80408,744,211368
968,936560,225608,80408,744,211368
988,936560,225608,80408,744,211368
1007,936560,226664,80408,744,212412
1027,936560,226664,80408,744,212412
1048,936560,227240,80468,744,212952
1068,936560,228552,80468,744,213900
1088,937108,230948,81624,744,214656
1109,937372,231212,81624,744,214924
1129,937908,231796,81684,744,215460
1149,938304,232848,81684,744,216996
1169,939096,233932,81996,744,217788
1189,939096,234392,82208,744,217788
1210,939796,235148,82452,744,218488
1230,939796,235148,82452,744,218488
1250,906516,236456,82768,744,185460
1270,906516,236456,82768,744,185460
1291,905492,237936,85272,744,184436
1311,905492,237936,85272,744,184436
1331,0,0,0,0,0
1351,0,0,0,0,0
SUMMARY,exit=0,wall_ms=1372,user_ms=1409,sys_ms=296,max_rss_kb=245524
